3,2,1,5,6,5,6,6,6,6,7,7,7,7,7,7,7,8,6,8,5,1,7,8,8,7,7,7,6,6,6,5,5,5,5,4,Perut,Perut
5,6,1,8,5,6,6,6,6,6,7,7,7,7,7,7,7,8,1,4,3,5,7,8,8,8,7,7,7,6,6,5,5,5,5,4,Perut,Perut
2,1,1,2,5,6,6,6,6,6,7,6,7,7,7,7,8,8,5,5,5,5,8,8,8,8,8,7,7,6,6,6,5,5,5,5,Perut,Perut
2,4,2,1,7,6,6,6,6,6,7,7,7,7,7,7,7,8,2,3,2,1,1,1,8,8,7,7,6,7,6,5,5,5,5,1,Perut,Perut
5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2,7,8,8,8,8,8,8,7,7,7,6,5,5,5,5,5,7,5,Perut,Perut
2,2,1,5,5,6,6,6,6,7,7,7,7,7,7,7,2,2,5,5,5,8,8,1,8,8,7,7,6,6,6,5,5,4,5,5,Perut,Perut
2,4,1,2,5,6,6,5,6,6,6,6,7,7,7,7,8,8,3,7,2,1,6,8,8,8,8,8,7,7,7,5,6,6,4,5,Perut,Perut
2,2,1,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,1,1,1,5,8,8,8,5,7,7,7,7,6,6,6,5,5,5,Perut,Perut
8,2,1,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,4,8,1,7,1,8,8,8,6,7,8,7,6,6,5,5,5,5,Perut,Perut
2,3,2,5,5,6,5,6,6,6,6,6,6,6,7,7,8,8,5,4,1,4,3,6,1,1,8,8,8,7,7,7,7,6,6,5,Perut,Perut
4,2,2,1,5,6,5,6,6,6,6,6,7,7,7,7,7,7,5,4,5,4,1,8,8,8,8,8,8,7,7,6,6,5,5,5,Perut,Perut
8,1,3,5,1,1,6,6,6,6,6,6,6,6,6,7,7,8,2,7,4,5,1,1,5,8,8,8,7,8,7,7,6,6,5,5,Perut,Perut
1,1,1,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,1,3,4,5,5,5,1,8,7,7,7,7,6,6,5,5,4,2,Perut,Perut
8,1,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,7,3,6,5,6,1,8,8,8,7,7,7,6,6,6,5,5,4,5,Perut,Perut
7,6,5,2,2,6,6,6,6,6,6,7,6,7,7,7,7,7,5,8,1,5,5,2,7,8,8,7,7,7,7,6,6,5,5,5,Perut,Perut
